n,Iterative,Recursive,Dynamic Programming
102,0.00260,-,0.00473
103,0.00296,-,0.00472
104,0.00506,-,0.00501
105,0.00529,-,0.00523
106,0.00547,-,0.00479
107,0.00492,-,0.00538
108,0.00501,-,0.00529
109,0.00302,-,0.00503
110,0.00518,-,0.00506
111,0.00501,-,0.00497
112,0.00557,-,0.00527
113,0.00524,-,0.00557
114,0.00508,-,0.00516
115,0.00560,-,0.00502
116,0.00539,-,0.00528
117,0.00501,-,0.00494
118,0.00529,-,0.00504
119,0.00526,-,0.00485
120,0.00532,-,0.00507
121,0.00529,-,0.00530
122,0.00548,-,0.00550
123,0.00521,-,0.00519
124,0.00520,-,0.00513
125,0.00485,-,0.00531
126,0.00285,-,0.00507
127,0.00516,-,0.00528
128,0.00528,-,0.00538
129,0.00533,-,0.00518
130,0.00513,-,0.00518
131,0.00301,-,0.00509
132,0.00522,-,0.00497
133,0.00279,-,0.00497
134,0.00354,-,0.00519
135,0.00491,-,0.00476
136,0.00527,-,0.00507
137,0.00509,-,0.00514
138,0.00261,-,0.00491
139,0.00269,-,0.00483
140,0.00262,-,0.00473
141,0.00317,-,0.00484
142,0.00500,-,0.00539
143,0.00521,-,0.00525
144,0.00551,-,0.00506
145,0.00263,-,0.00476
146,0.00490,-,0.00526
147,0.00535,-,0.00510
148,0.00513,-,0.00497
149,0.00556,-,0.00529
150,0.00261,-,0.00520
151,0.00272,-,0.00504
152,0.00498,-,0.00497
153,0.00500,-,0.00503
154,0.00507,-,0.00508
155,0.00481,-,0.00488
156,0.00489,-,0.00532
157,0.00319,-,0.00531
158,0.00539,-,0.00519
159,0.00483,-,0.00511
160,0.00510,-,0.00509
161,0.00274,-,0.00508
162,0.00271,-,0.00473
163,0.00502,-,0.00514
164,0.00536,-,0.00536
165,0.00278,-,0.00558
166,0.00263,-,0.00506
167,0.00478,-,0.00467
168,0.00494,-,0.00494
169,0.00512,-,0.00472
170,0.00270,-,0.00539
171,0.00278,-,0.00501
172,0.00526,-,0.00546
173,0.00285,-,0.00488
174,0.00522,-,0.00514
175,0.00495,-,0.00500
176,0.00510,-,0.00515
177,0.00585,-,0.00571
178,0.00527,-,0.00543
179,0.00577,-,0.00499
180,0.00569,-,0.00503
181,0.00497,-,0.00517
182,0.00516,-,0.00555
183,0.00537,-,0.00500
184,0.00509,-,0.00528
185,0.00520,-,0.00491
186,0.00526,-,0.00475
187,0.00510,-,0.00518
188,0.00515,-,0.00468
189,0.00507,-,0.00511
190,0.00272,-,0.00501
191,0.00527,-,0.00492
192,0.00498,-,0.00483
193,0.00265,-,0.00534
194,0.00519,-,0.00527
195,0.00495,-,0.00515
196,0.00541,-,0.00500
197,0.00524,-,0.00513
198,0.00286,-,0.00513
199,0.00544,-,0.00510
200,0.00311,-,0.00534
201,0.00259,-,0.00488
202,0.00283,-,0.00492
203,0.00478,-,0.00500
204,0.00474,-,0.00501
205,0.00473,-,0.00495
206,0.00490,-,0.00500
207,0.00474,-,0.00510
208,0.00512,-,0.00542
209,0.00519,-,0.00510
210,0.00489,-,0.00520
211,0.00494,-,0.00466
212,0.00498,-,0.00513
213,0.00498,-,0.00460
214,0.00464,-,0.00496
215,0.00513,-,0.00469
216,0.00531,-,0.00505
217,0.00259,-,0.00455
218,0.00498,-,0.00493
219,0.00260,-,0.00482
220,0.00528,-,0.00506
221,0.00517,-,0.00501
222,0.00506,-,0.00480
223,0.00502,-,0.00505
224,0.00282,-,0.00476
225,0.00506,-,0.00518
226,0.00527,-,0.00493
227,0.00496,-,0.00496
228,0.00465,-,0.00533
229,0.00527,-,0.00512
230,0.00522,-,0.00536
231,0.00529,-,0.00494
232,0.00242,-,0.00503
233,0.00532,-,0.00455
234,0.00527,-,0.00501
235,0.00457,-,0.00474
236,0.00516,-,0.00459
237,0.00535,-,0.00482
238,0.00532,-,0.00533
239,0.00512,-,0.00513
240,0.00502,-,0.00473
241,0.00515,-,0.00482
242,0.00522,-,0.00480
243,0.00501,-,0.00484
244,0.00272,-,0.00480
245,0.00498,-,0.00470
246,0.00500,-,0.00475
247,0.00508,-,0.00511
248,0.00475,-,0.00472
249,0.00534,-,0.00507
250,0.00502,-,0.00545
251,0.00499,-,0.00473
252,0.00521,-,0.00496
253,0.00520,-,0.00531
254,0.00504,-,0.00527
255,0.00506,-,0.00480
256,0.00474,-,0.00527
257,0.00526,-,0.00471
258,0.00469,-,0.00487
259,0.00495,-,0.00498
260,0.00505,-,0.00508
261,0.00471,-,0.00501
262,0.00503,-,0.00519
263,0.00538,-,0.00557
264,0.00499,-,0.00521
265,0.00538,-,0.00498
266,0.00526,-,0.00502
267,0.00502,-,0.00543
268,0.00475,-,0.00479
269,0.00510,-,0.00525
270,0.00480,-,0.00517
271,0.00515,-,0.00478
272,0.00533,-,0.00523
273,0.00491,-,0.00491
274,0.00541,-,0.00542
275,0.00518,-,0.00546
276,0.00509,-,0.00513
277,0.00456,-,0.00505
278,0.00242,-,0.00508
279,0.00515,-,0.00522
280,0.00529,-,0.00481
281,0.00522,-,0.00484
282,0.00464,-,0.00504
283,0.00481,-,0.00523
284,0.00507,-,0.00467
285,0.00476,-,0.00499
286,0.00513,-,0.00496
287,0.00506,-,0.00486
288,0.00527,-,0.00521
289,0.00498,-,0.00511
290,0.00536,-,0.00518
291,0.00584,-,0.00501
292,0.00519,-,0.00524
293,0.00508,-,0.00476
294,0.00523,-,0.00519
295,0.00498,-,0.00474
296,0.00475,-,0.00469
297,0.00526,-,0.00528
298,0.00485,-,0.00483
299,0.00480,-,0.00499
300,0.00555,-,0.00493
301,0.00505,-,0.00546
302,0.00528,-,0.00510
303,0.00547,-,0.00493
304,0.00507,-,0.00507
305,0.00491,-,0.00530
306,0.00492,-,0.00516
307,0.00488,-,0.00524
308,0.00500,-,0.00493
309,0.00495,-,0.00489
310,0.00486,-,0.00545
311,0.00533,-,0.00474
312,0.00473,-,0.00525
313,0.00506,-,0.00508
314,0.00513,-,0.00499
315,0.00503,-,0.00506
316,0.00477,-,0.00512
317,0.00498,-,0.00504
318,0.00482,-,0.00501
319,0.00502,-,0.00483
320,0.00513,-,0.00539
321,0.00489,-,0.00537
322,0.00529,-,0.00491
323,0.00557,-,0.00530
324,0.00501,-,0.00517
325,0.00510,-,0.00482
326,0.00515,-,0.00487
327,0.00504,-,0.00525
328,0.00514,-,0.00473
329,0.00571,-,0.00484
330,0.00497,-,0.00484
331,0.00521,-,0.00507
332,0.00523,-,0.00458
333,0.00476,-,0.00457
334,0.00509,-,0.00528
335,0.00485,-,0.00489
336,0.00484,-,0.00455
337,0.00549,-,0.00462
338,0.00479,-,0.00537
339,0.00506,-,0.00501
340,0.00508,-,0.00511
341,0.00480,-,0.00490
342,0.00495,-,0.00528
343,0.00487,-,0.00510
344,0.00492,-,0.00520
345,0.00496,-,0.00494
346,0.00506,-,0.00536
347,0.00500,-,0.00519
348,0.00546,-,0.00525
349,0.00476,-,0.00463
350,0.00458,-,0.00478
351,0.00482,-,0.00468
352,0.00515,-,0.00456
353,0.00503,-,0.00460
354,0.00512,-,0.00465
355,0.00472,-,0.00508
356,0.00518,-,0.00508
357,0.00510,-,0.00485
358,0.00512,-,0.00512
359,0.00517,-,0.00553
360,0.00487,-,0.00549
361,0.00556,-,0.00959
362,0.00561,-,0.00480
363,0.00521,-,0.00491
364,0.00498,-,0.00540
365,0.00508,-,0.00941
366,0.00538,-,0.00527
367,0.00556,-,0.00929
368,0.00546,-,0.00523
369,0.00506,-,0.00992
370,0.00559,-,0.00514
371,0.00497,-,0.00476
372,0.00505,-,0.00464
373,0.00513,-,0.00497
374,0.00525,-,0.00471
375,0.00480,-,0.00517
376,0.00518,-,0.00467
377,0.00501,-,0.00523
378,0.00535,-,0.00498
379,0.00511,-,0.00475
380,0.00549,-,0.00508
381,0.00538,-,0.00495
382,0.00476,-,0.00470
383,0.00527,-,0.00507
384,0.00511,-,0.00504
385,0.00503,-,0.00510
386,0.00512,-,0.00533
387,0.00523,-,0.00926
388,0.00528,-,0.00504
389,0.00518,-,0.00476
390,0.00501,-,0.00528
391,0.00507,-,0.00485
392,0.00506,-,0.00504
393,0.00528,-,0.00956
394,0.00584,-,0.00965
395,0.00562,-,0.00949
396,0.00564,-,0.01014
397,0.00535,-,0.00917
398,0.00558,-,0.00506
399,0.00497,-,0.00497
400,0.00508,-,0.00928
401,0.00550,-,0.00915
402,0.00557,-,0.00954
403,0.00528,-,0.00526
404,0.00507,-,0.00905
405,0.00519,-,0.00899
406,0.00502,-,0.00915
407,0.00499,-,0.00906
408,0.00512,-,0.00503
409,0.00532,-,0.00881
410,0.00489,-,0.00467
411,0.00459,-,0.00461
412,0.00539,-,0.00471
413,0.00508,-,0.00488
414,0.00474,-,0.00964
415,0.00513,-,0.00511
416,0.00487,-,0.00513
417,0.00475,-,0.00496
418,0.00506,-,0.00503
419,0.00516,-,0.00506
420,0.00507,-,0.00908
421,0.00507,-,0.00469
422,0.00599,-,0.00484
423,0.00460,-,0.00959
424,0.00535,-,0.00915
425,0.00516,-,0.00935
426,0.00534,-,0.00910
427,0.00476,-,0.00944
428,0.00538,-,0.00924
429,0.00517,-,0.00938
430,0.00536,-,0.00940
431,0.00506,-,0.00938
432,0.00516,-,0.00928
433,0.00562,-,0.00926
434,0.00577,-,0.00900
435,0.00527,-,0.00866
436,0.00527,-,0.00876
437,0.00493,-,0.00495
438,0.00512,-,0.00899
439,0.00498,-,0.00888
440,0.00514,-,0.00905
441,0.00537,-,0.00911
442,0.00499,-,0.00936
443,0.00542,-,0.00919
444,0.00561,-,0.00929
445,0.00524,-,0.00901
446,0.00535,-,0.00510
447,0.00485,-,0.00918
448,0.00517,-,0.00899
449,0.00520,-,0.00903
450,0.00524,-,0.00902
451,0.00494,-,0.00923
452,0.00550,-,0.00494
453,0.00506,-,0.00943
454,0.00526,-,0.00970
455,0.00513,-,0.00924
456,0.00536,-,0.00908
457,0.00494,-,0.00943
458,0.00508,-,0.00944
459,0.00533,-,0.00889
460,0.00477,-,0.00886
461,0.00515,-,0.00916
462,0.00545,-,0.00933
463,0.00516,-,0.00968
464,0.00545,-,0.00934
465,0.00543,-,0.00940
466,0.00519,-,0.00938
467,0.00558,-,0.00895
468,0.00508,-,0.00930
469,0.00519,-,0.00922
470,0.00562,-,0.00943
471,0.00553,-,0.00946
472,0.00548,-,0.00976
473,0.00524,-,0.00893
474,0.00537,-,0.00930
475,0.00527,-,0.00953
476,0.00561,-,0.00933
477,0.00530,-,0.00898
478,0.00513,-,0.00921
479,0.00536,-,0.00931
480,0.00521,-,0.00866
481,0.00462,-,0.00920
482,0.00533,-,0.00935
483,0.00548,-,0.00929
484,0.00527,-,0.00941
485,0.00530,-,0.00931
486,0.00508,-,0.00966
487,0.00558,-,0.00890
488,0.00515,-,0.00941
489,0.00508,-,0.00921
490,0.00536,-,0.00904
491,0.00531,-,0.00938
492,0.00499,-,0.00892
493,0.00532,-,0.00905
494,0.00536,-,0.00894
495,0.00535,-,0.00943
496,0.00533,-,0.00891
497,0.00517,-,0.00933
498,0.00532,-,0.00932
499,0.00523,-,0.00940
500,0.00537,-,0.00942
501,0.00530,-,0.00941
502,0.00539,-,0.00930
503,0.00554,-,0.00941
504,0.00538,-,0.00938
505,0.00534,-,0.00937
506,0.00531,-,0.00942
507,0.00555,-,0.00930
508,0.00545,-,0.00949
509,0.00540,-,0.00901
510,0.00549,-,0.00917
511,0.00530,-,0.00897
512,0.00541,-,0.00912
513,0.00482,-,0.00940
514,0.00512,-,0.00930
515,0.00568,-,0.00958
516,0.00525,-,0.00959
517,0.00518,-,0.00888
518,0.00516,-,0.00951
519,0.00546,-,0.00888
520,0.00515,-,0.00891
521,0.00490,-,0.00894
522,0.00508,-,0.00880
523,0.00502,-,0.00897
524,0.00493,-,0.00881
525,0.00488,-,0.00925
526,0.00510,-,0.00952
527,0.00510,-,0.00926
528,0.00530,-,0.00926
529,0.00528,-,0.00874
530,0.00500,-,0.00929
531,0.00562,-,0.00907
532,0.00474,-,0.00868
533,0.00547,-,0.00933
534,0.00514,-,0.00885
535,0.00519,-,0.00937
536,0.00561,-,0.00934
537,0.00542,-,0.00886
538,0.00531,-,0.00944
539,0.00519,-,0.00959
540,0.00514,-,0.00911
541,0.00535,-,0.00887
542,0.00486,-,0.00872
543,0.00493,-,0.00894
544,0.00532,-,0.00876
545,0.00474,-,0.00875
546,0.00537,-,0.00903
547,0.00544,-,0.00957
548,0.00932,-,0.00978
549,0.00558,-,0.00896
550,0.00501,-,0.00892
551,0.00566,-,0.00903
552,0.00522,-,0.00896
553,0.00971,-,0.00913
554,0.00542,-,0.00936
555,0.00552,-,0.00920
556,0.00537,-,0.00942
557,0.00513,-,0.00893
558,0.00521,-,0.00928
559,0.00524,-,0.00904
560,0.00490,-,0.00917
561,0.00551,-,0.00917
562,0.00505,-,0.00929
563,0.00539,-,0.00900
564,0.00464,-,0.00905
565,0.00501,-,0.00883
566,0.00474,-,0.00872
567,0.00471,-,0.00892
568,0.00563,-,0.00923
569,0.00542,-,0.00878
570,0.00508,-,0.00917
571,0.00496,-,0.00958
572,0.00517,-,0.00913
573,0.00500,-,0.00882
574,0.00515,-,0.00883
575,0.00477,-,0.00903
576,0.00463,-,0.00871
577,0.00542,-,0.00896
578,0.00491,-,0.00912
579,0.00501,-,0.00883
580,0.00506,-,0.00925
581,0.00492,-,0.00928
582,0.00532,-,0.00944
583,0.00525,-,0.00938
584,0.00514,-,0.00931
585,0.00538,-,0.00891
586,0.00546,-,0.00929
587,0.00530,-,0.00918
588,0.00517,-,0.00898
589,0.00520,-,0.00915
590,0.00505,-,0.00914
591,0.00533,-,0.00912
592,0.00527,-,0.00925
593,0.00514,-,0.00950
594,0.00537,-,0.00968
595,0.00535,-,0.00874
596,0.00473,-,0.00961
597,0.00957,-,0.00963
598,0.00974,-,0.00967
599,0.00975,-,0.00936
600,0.00554,-,0.00883
601,0.00522,-,0.00902
602,0.00512,-,0.00937
603,0.00952,-,0.00912
604,0.00959,-,0.00928
605,0.00952,-,0.00982
606,0.00983,-,0.00978
607,0.00973,-,0.00950
608,0.00562,-,0.00915
609,0.00964,-,0.00926
610,0.00554,-,0.00906
611,0.00488,-,0.00940
612,0.00521,-,0.00899
613,0.00532,-,0.00899
614,0.00506,-,0.00892
615,0.00548,-,0.00937
616,0.00945,-,0.00983
617,0.00986,-,0.00987
618,0.00972,-,0.01002
619,0.00524,-,0.00941
620,0.00536,-,0.00908
621,0.00967,-,0.00951
622,0.00984,-,0.00949
623,0.00996,-,0.00928
624,0.00949,-,0.00965
625,0.00941,-,0.00962
626,0.00533,-,0.00925
627,0.00922,-,0.00956
628,0.00924,-,0.00940
629,0.00990,-,0.00976
630,0.00942,-,0.00969
631,0.00992,-,0.00981
632,0.00977,-,0.00945
633,0.00988,-,0.00968
634,0.00967,-,0.00974
635,0.00982,-,0.00958
636,0.00960,-,0.00928
637,0.00573,-,0.00896
638,0.00918,-,0.00949
639,0.00981,-,0.00985
640,0.00530,-,0.00923
641,0.00548,-,0.00887
642,0.00886,-,0.00957
643,0.00976,-,0.00976
644,0.00974,-,0.00922
645,0.00918,-,0.00988
646,0.01011,-,0.00991
647,0.00981,-,0.00948
648,0.00990,-,0.00991
649,0.00968,-,0.00986
650,0.00973,-,0.00908
651,0.00957,-,0.00925
652,0.00960,-,0.00972
653,0.00953,-,0.00914
654,0.00983,-,0.00958
655,0.00989,-,0.00973
656,0.00978,-,0.00938
657,0.00944,-,0.00985
658,0.00986,-,0.00980
659,0.00485,-,0.00892
660,0.00556,-,0.00869
661,0.00912,-,0.00926
662,0.00520,-,0.00899
663,0.00964,-,0.00958
664,0.00988,-,0.00998
665,0.00995,-,0.01003
666,0.00960,-,0.00955
667,0.00982,-,0.00970
668,0.00970,-,0.00977
669,0.00964,-,0.00951
670,0.00954,-,0.00992
671,0.00996,-,0.00947
672,0.00984,-,0.00992
673,0.00988,-,0.00991
674,0.00975,-,0.00946
675,0.00937,-,0.00920
676,0.00945,-,0.01001
677,0.00982,-,0.00936
678,0.00988,-,0.00978
679,0.00996,-,0.00972
680,0.00917,-,0.00971
681,0.00972,-,0.00958
682,0.00947,-,0.00957
683,0.00985,-,0.00950
684,0.00932,-,0.00953
685,0.00948,-,0.00947
686,0.00964,-,0.00994
687,0.00986,-,0.00981
688,0.00988,-,0.00941
689,0.00970,-,0.00977
690,0.00955,-,0.00918
691,0.00936,-,0.00947
692,0.00970,-,0.00933
693,0.00959,-,0.00951
694,0.00933,-,0.00947
695,0.00936,-,0.00902
696,0.00944,-,0.00935
697,0.00957,-,0.00930
698,0.00963,-,0.00961
699,0.00961,-,0.00971
700,0.00977,-,0.00963
701,0.00955,-,0.00955
702,0.00960,-,0.00955
703,0.00968,-,0.00982
704,0.00964,-,0.00958
705,0.00987,-,0.00983
706,0.00982,-,0.00953
707,0.00957,-,0.00909
708,0.00951,-,0.00983
709,0.00964,-,0.00962
710,0.00990,-,0.00974
711,0.00952,-,0.00905
712,0.00979,-,0.00984
713,0.00989,-,0.00935
714,0.00933,-,0.00946
715,0.00949,-,0.00934
716,0.00969,-,0.00960
717,0.00945,-,0.00902
718,0.00965,-,0.00951
719,0.00980,-,0.00949
720,0.00976,-,0.00942
721,0.00939,-,0.00985
722,0.00959,-,0.00982
723,0.00985,-,0.00982
724,0.00960,-,0.00980
725,0.00963,-,0.00969
726,0.00982,-,0.00945
727,0.00990,-,0.00967
728,0.00923,-,0.00993
729,0.00961,-,0.01781
730,0.00941,-,0.00946
731,0.00934,-,0.00951
732,0.00998,-,0.00985
733,0.00980,-,0.00941
734,0.00960,-,0.00974
735,0.01002,-,0.01813
736,0.00998,-,0.01786
737,0.01002,-,0.00971
738,0.00979,-,0.00927
739,0.00978,-,0.00956
740,0.00887,-,0.00935
741,0.00945,-,0.01751
742,0.00965,-,0.00946
743,0.00916,-,0.00912
744,0.00951,-,0.00945
745,0.01006,-,0.00995
746,0.00960,-,0.00894
747,0.00966,-,0.00960
748,0.00943,-,0.00985
749,0.00981,-,0.01772
750,0.00997,-,0.00974
751,0.00955,-,0.00936
752,0.00940,-,0.00955
753,0.00924,-,0.00937
754,0.00904,-,0.00953
755,0.00979,-,0.00964
756,0.00954,-,0.00939
757,0.00910,-,0.00967
758,0.00987,-,0.00961
759,0.00986,-,0.00975
760,0.00966,-,0.00956
761,0.00953,-,0.00963
762,0.00974,-,0.00957
763,0.00936,-,0.00933
764,0.00972,-,0.01792
765,0.00940,-,0.01801
766,0.00983,-,0.00946
767,0.00943,-,0.00928
768,0.00985,-,0.00934
769,0.00945,-,0.00949
770,0.00952,-,0.00933
771,0.00976,-,0.00942
772,0.00990,-,0.01793
773,0.00982,-,0.00949
774,0.00991,-,0.00957
775,0.00947,-,0.00975
776,0.00983,-,0.00944
777,0.00942,-,0.00934
778,0.00955,-,0.00944
779,0.00942,-,0.00922
780,0.00940,-,0.00959
781,0.00952,-,0.00946
782,0.00951,-,0.00925
783,0.00941,-,0.00924
784,0.00920,-,0.00948
785,0.00940,-,0.00932
786,0.00959,-,0.01801
787,0.00982,-,0.00980
788,0.00962,-,0.00947
789,0.00947,-,0.01768
790,0.01047,-,0.01787
791,0.00984,-,0.01734
792,0.00934,-,0.01729
793,0.00965,-,0.01801
794,0.01073,-,0.01793
795,0.00988,-,0.01793
796,0.00998,-,0.01805
797,0.00990,-,0.01783
798,0.01004,-,0.01800
799,0.01000,-,0.01782
800,0.00990,-,0.00964
801,0.00967,-,0.01770
802,0.00997,-,0.00930
803,0.00979,-,0.01768
804,0.00971,-,0.01726
805,0.00996,-,0.01793
806,0.00995,-,0.01810
807,0.00989,-,0.01787
808,0.00985,-,0.01766
809,0.00986,-,0.01783
810,0.00988,-,0.01805
811,0.01001,-,0.01776
812,0.00961,-,0.01761
813,0.00981,-,0.01791
814,0.00998,-,0.01790
815,0.00967,-,0.01742
816,0.00993,-,0.01790
817,0.00988,-,0.01778
818,0.00992,-,0.01771
819,0.00991,-,0.01766
820,0.00986,-,0.01792
821,0.00989,-,0.01792
822,0.00981,-,0.01784
823,0.00983,-,0.01787
824,0.00979,-,0.01788
825,0.00987,-,0.01774
826,0.00955,-,0.00965
827,0.00959,-,0.01732
828,0.00983,-,0.01790
829,0.00978,-,0.01751
830,0.01008,-,0.01765
831,0.01000,-,0.01768
832,0.00982,-,0.01777
833,0.00929,-,0.01757
834,0.00991,-,0.01798
835,0.00979,-,0.01781
836,0.00964,-,0.01756
837,0.00986,-,0.01780
838,0.00992,-,0.01794
839,0.00985,-,0.01793
840,0.01009,-,0.01781
841,0.00985,-,0.01802
842,0.00983,-,0.01780
843,0.00972,-,0.01788
844,0.00985,-,0.01770
845,0.00945,-,0.01781
846,0.00995,-,0.01762
847,0.00978,-,0.01818
848,0.01021,-,0.01754
849,0.01071,-,0.01763
850,0.01021,-,0.01767
851,0.00994,-,0.01874
852,0.01058,-,0.01741
853,0.00920,-,0.01759
854,0.00963,-,0.01784
855,0.01000,-,0.01889
856,0.00988,-,0.01749
857,0.01035,-,0.01846
858,0.01037,-,0.01804
859,0.00965,-,0.01824
860,0.01016,-,0.01781
861,0.00965,-,0.01805
862,0.00962,-,0.01790
863,0.01036,-,0.01795
864,0.00996,-,0.01751
865,0.00948,-,0.01792
866,0.01016,-,0.01814
867,0.00977,-,0.01790
868,0.01016,-,0.01763
869,0.01015,-,0.01782
870,0.00970,-,0.01830
871,0.00958,-,0.01814
872,0.00959,-,0.01781
873,0.00953,-,0.01737
874,0.00942,-,0.01739
875,0.00979,-,0.01790
876,0.00975,-,0.01780
877,0.00998,-,0.01739
878,0.00988,-,0.01803
879,0.00896,-,0.01754
880,0.00990,-,0.01792
881,0.00964,-,0.01758
882,0.00969,-,0.01769
883,0.01002,-,0.01808
884,0.00984,-,0.01774
885,0.01016,-,0.01786
886,0.00960,-,0.01734
887,0.00978,-,0.01744
888,0.01002,-,0.01803
889,0.00985,-,0.01755
890,0.00974,-,0.01748
891,0.00954,-,0.01791
892,0.00997,-,0.01799
893,0.00985,-,0.01782
894,0.00980,-,0.01798
895,0.00989,-,0.01799
896,0.00989,-,0.01745
897,0.00954,-,0.01755
898,0.01009,-,0.01794
899,0.01000,-,0.01780
900,0.00997,-,0.01772
901,0.01015,-,0.01798
902,0.00962,-,0.01785
903,0.00966,-,0.01766
904,0.01006,-,0.01780
905,0.00993,-,0.01792
906,0.00992,-,0.01805
907,0.01009,-,0.01790
908,0.00994,-,0.01772
909,0.00976,-,0.01779
910,0.00982,-,0.01777
911,0.00992,-,0.01763
912,0.00962,-,0.01721
913,0.00980,-,0.01792
914,0.00989,-,0.01794
915,0.00991,-,0.01778
916,0.01019,-,0.01802
917,0.00988,-,0.01766
918,0.00993,-,0.01795
919,0.00998,-,0.01805
920,0.00990,-,0.01798
921,0.00981,-,0.01781
922,0.00978,-,0.01757
923,0.00980,-,0.01790
924,0.00942,-,0.01737
925,0.00989,-,0.01754
926,0.01012,-,0.01763
927,0.00973,-,0.01761
928,0.00991,-,0.01793
929,0.00996,-,0.01772
930,0.00933,-,0.01753
931,0.00955,-,0.01737
932,0.00971,-,0.01784
933,0.00999,-,0.01794
934,0.00989,-,0.01764
935,0.00987,-,0.01815
936,0.00993,-,0.01766
937,0.01001,-,0.01787
938,0.01008,-,0.01797
939,0.00992,-,0.01789
940,0.00993,-,0.01794
941,0.01018,-,0.01805
942,0.00991,-,0.01795
943,0.01006,-,0.01760
944,0.00973,-,0.01763
945,0.00961,-,0.01753
946,0.00988,-,0.01765
947,0.00973,-,0.01775
948,0.00982,-,0.01794
949,0.00985,-,0.01780
950,0.01005,-,0.01784
951,0.01021,-,0.01774
952,0.00962,-,0.01743
953,0.00962,-,0.01789
954,0.01000,-,0.01768
955,0.00979,-,0.01765
956,0.00964,-,0.01749
957,0.00973,-,0.01813
958,0.01004,-,0.01743
959,0.00957,-,0.01717
960,0.00991,-,0.01749
961,0.00999,-,0.01797
962,0.00998,-,0.01746
963,0.00992,-,0.01783
964,0.00979,-,0.01780
965,0.00994,-,0.01772
966,0.01001,-,0.01778
967,0.01005,-,0.01799
968,0.01019,-,0.01754
969,0.01000,-,0.01766
970,0.01005,-,0.01800
971,0.00993,-,0.01801
972,0.00992,-,0.01795
973,0.00993,-,0.01775
974,0.00985,-,0.01800
975,0.00985,-,0.01801
976,0.00991,-,0.01811
977,0.00984,-,0.01777
978,0.00997,-,0.01798
979,0.00991,-,0.01783
980,0.00990,-,0.01819
981,0.00994,-,0.01823
982,0.01006,-,0.01762
983,0.00938,-,0.01734
984,0.01001,-,0.01812
985,0.00988,-,0.01793
986,0.00972,-,0.01769
987,0.00973,-,0.01792
988,0.00993,-,0.01753
989,0.01012,-,0.01781
